RegionID,RegionName,SizeRank,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08
102001,United States,0,1349,1354,1360,1365,1371,1376,1381,1387,1392,1398,1403,1409,1414,1419,1425,1430,1436,1441,1446,1452,1457,1462,1467,1472,1477,1482,1486,1491,1495,1499,1504,1507,1511,1515,1519,1523,1527,1530,1534,1537,1541,1544,1548,1552,1556,1559,1564,1568,1572,1577,1581,1586,1591,1595,1600,1605,1609,1614,1619,1623,1628,1632,1637,1641,1646,1651,1655,1660,1664,1668,1670,1673,1675,1677,1679,1680,1682,1684,1686,1687
394913,"New York, NY",1,2318,2327,2336,2345,2354,2363,2372,2381,2390,2399,2408,2417,2426,2435,2443,2452,2461,2469,2477,2485,2492,2499,2504,2510,2515,2520,2524,2528,2532,2536,2539,2543,2546,2549,2552,2555,2559,2561,2564,2567,2569,2571,2573,2575,2576,2578,2580,2582,2584,2587,2590,2593,2597,2600,2604,2608,2612,2616,2621,2625,2630,2635,2641,2646,2652,2658,2664,2669,2674,2679,2675,2672,2669,2664,2660,2655,2650,2645,2640,2633
753899,"Los Angeles-Long Beach-Anaheim, CA",2,1856,1869,1882,1894,1907,1920,1932,1945,1957,1970,1982,1994,2006,2017,2028,2040,2052,2064,2075,2088,2100,2112,2124,2136,2147,2158,2170,2181,2191,2201,2212,2221,2231,2241,2250,2260,2270,2279,2288,2297,2305,2314,2322,2330,2338,2346,2353,2361,2368,2376,2384,2392,2401,2409,2417,2425,2432,2440,2447,2454,2461,2467,2474,2480,2486,2493,2499,2504,2510,2516,2517,2519,2520,2522,2523,2524,2525,2526,2526,2527
394463,"Chicago, IL",3,1533,1537,1541,1545,1548,1552,1556,1559,1563,1567,1570,1574,1577,1582,1586,1590,1595,1599,1604,1609,1615,1620,1625,1630,1636,1640,1644,1648,1651,1654,1658,1661,1663,1666,1669,1672,1675,1677,1680,1682,1684,1687,1689,1691,1694,1696,1698,1700,1703,1705,1707,1710,1712,1715,1717,1720,1723,1726,1729,1732,1736,1739,1743,1747,1750,1754,1758,1761,1764,1767,1768,1768,1768,1768,1768,1768,1767,1767,1766,1765
394514,"Dallas-Fort Worth, TX",4,1221,1227,1233,1239,1245,1251,1257,1262,1268,1274,1280,1287,1293,1298,1304,1310,1315,1321,1326,1331,1336,1341,1346,1352,1357,1362,1368,1374,1379,1385,1391,1396,1402,1407,1412,1417,1422,1426,1431,1435,1439,1443,1447,1451,1455,1459,1462,1465,1469,1472,1476,1479,1483,1486,1490,1494,1498,1502,1506,1510,1514,1518,1521,1525,1529,1533,1536,1539,1543,1546,1548,1549,1551,1552,1554,1556,1557,1558,1560,1561
394974,"Philadelphia, PA",5,1370,1372,1374,1376,1379,1381,1383,1385,1388,1390,1393,1396,1399,1402,1405,1408,1412,1415,1419,1422,1426,1429,1432,1435,1438,1442,1445,1448,1452,1455,1459,1462,1466,1469,1471,1474,1476,1478,1480,1482,1484,1485,1487,1489,1491,1493,1496,1499,1502,1506,1510,1513,1518,1522,1526,1530,1534,1538,1542,1546,1550,1554,1558,1562,1565,1569,1573,1576,1580,1583,1585,1587,1589,1591,1593,1594,1596,1597,1599,1600
394692,"Houston, TX",6,1278,1289,1300,1311,1321,1331,1341,1351,1362,1372,1378,1385,1392,1397,1401,1405,1409,1413,1416,1419,1421,1423,1425,1426,1427,1427,1427,1428,1427,1427,1427,1426,1425,1424,1423,1422,1421,1421,1420,1420,1422,1423,1425,1428,1431,1434,1438,1443,1447,1450,1454,1458,1460,1462,1464,1464,1465,1466,1467,1468,1469,1470,1471,1472,1474,1475,1477,1478,1480,1481,1481,1481,1481,1481,1480,1480,1480,1479,1479,1479
395209,"Washington, DC",7,1891,1894,1897,1901,1904,1907,1910,1913,1917,1920,1923,1925,1928,1931,1933,1935,1939,1942,1945,1949,1953,1957,1960,1963,1966,1969,1971,1974,1975,1977,1979,1981,1983,1985,1987,1990,1992,1995,1997,2000,2002,2004,2006,2007,2009,2011,2013,2015,2018,2021,2025,2028,2032,2037,2041,2045,2049,2054,2058,2063,2067,2071,2075,2079,2084,2088,2092,2095,2099,2103,2102,2102,2102,2101,2101,2100,2099,2098,2098,2096
394856,"Miami-Fort Lauderdale, FL",8,1592,1599,1607,1614,1622,1629,1637,1644,1652,1659,1667,1675,1683,1690,1698,1705,1712,1720,1727,1734,1742,1749,1755,1761,1767,1772,1777,1782,1785,1789,1792,1795,1797,1799,1802,1804,1806,1808,1810,1812,1814,1816,1819,1821,1824,1827,1830,1834,1837,1841,1846,1850,1854,1858,1863,1867,1871,1875,1878,1881,1885,1888,1891,1894,1898,1901,1905,1908,1912,1916,1919,1921,1924,1926,1928,1931,1933,1935,1937,1939
394347,"Atlanta, GA",9,1154,1158,1161,1165,1169,1172,1176,1180,1183,1187,1192,1196,1200,1206,1211,1216,1222,1227,1232,1238,1243,1249,1255,1260,1266,1273,1279,1285,1292,1298,1305,1311,1317,1322,1328,1333,1338,1343,1348,1353,1359,1364,1370,1375,1381,1387,1393,1400,1406,1412,1419,1425,1433,1440,1447,1454,1462,1469,1476,1482,1489,1495,1500,1506,1510,1515,1519,1523,1528,1532,1535,1538,1542,1545,1549,1552,1556,1559,1562,1566
