year,amount,inflation rate,Constant,* Divide the raw dollars for each year by the constant for the associated year
1995,1,0.03,0.595238095,
1996,1.03,0.03,0.613095238,
1997,1.05,0.02,0.625,
1998,1.07,0.02,0.636904762,
1999,1.09,0.02,0.648809524,
2000,1.13,0.03,0.672619048,
2001,1.16,0.03,0.69047619,
2002,1.18,0.02,0.702380952,
2003,1.21,0.02,0.720238095,
2004,1.24,0.03,0.738095238,
2005,1.28,0.03,0.761904762,
2006,1.32,0.03,0.785714286,
2007,1.36,0.03,0.80952381,
2008,1.41,0.04,0.839285714,
2009,1.41,0,0.839285714,
2010,1.43,0.02,0.851190476,
2011,1.48,0.03,0.880952381,
2012,1.51,0.02,0.898809524,
2013,1.53,0.01,0.910714286,
2014,1.55,0.02,0.922619048,
2015,1.56,0,0.928571429,
2016,1.57,0.01,0.93452381,
2017,1.61,0.02,0.958333333,
2018,1.65,0.02,0.982142857,
2019,1.68,0.02,1,
2020,1.71,0.02,1.017857143,
