GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
5100148,2000,Abingdon,Virginia,7780,10.06,1398.75,41.94,440,30976,100100,23.6,94.4,3.41,0.8,0.12,0.64,0.01,0.58,0.05,29.86,28.86,2.06,2.13,0,0,0
5100148,2001,Abingdon,Virginia,7780,10.06,1438.06,41.94,440,30976,100100,23.6,94.4,3.41,0.8,0.12,0.64,0.01,0.58,0.05,38.5,33.8,2.35,2.68,0,0,0
5100148,2002,Abingdon,Virginia,7780,10.06,1474.88,41.94,440,30976,100100,23.6,94.4,3.41,0.8,0.12,0.64,0.01,0.58,0.05,61.25,47.14,3.2,4.15,0,0,0
5100148,2003,Abingdon,Virginia,7780,10.06,1514.18,41.94,440,30976,100100,23.6,94.4,3.41,0.8,0.12,0.64,0.01,0.58,0.05,53,31,2.05,3.5,0,0,0
5100148,2004,Abingdon,Virginia,7780,10.06,1552,41.94,440,30976,100100,23.6,94.4,3.41,0.8,0.12,0.64,0.01,0.58,0.05,84.2,57.86,3.73,5.43,0,0,0
5100148,2005,Abingdon,Virginia,7919,15.11,1592.16,44.77,606,34284,141600,30.6,90.1,4.41,3.41,0,0.25,0,1.83,0,79.7,46.96,2.95,5.01,0,0,0
5100148,2006,Abingdon,Virginia,7919,15.11,1629.52,44.77,606,34284,141600,30.6,90.1,4.41,3.41,0,0.25,0,1.83,0,84.41,50.15,3.08,5.18,0,0,0
5100148,2007,Abingdon,Virginia,7919,15.11,1668.25,44.77,606,34284,141600,30.6,90.1,4.41,3.41,0,0.25,0,1.83,0,52.87,51.01,3.06,3.17,0,0,0
5100148,2008,Abingdon,Virginia,7919,15.11,1706.64,44.77,606,34284,141600,30.6,90.1,4.41,3.41,0,0.25,0,1.83,0,50.65,48.11,2.82,2.97,0,0,0
5100148,2009,Abingdon,Virginia,7919,15.11,1744.37,44.77,606,34284,141600,30.6,90.1,4.41,3.41,0,0.25,0,1.83,0,54.09,51.09,2.93,3.1,0,0,0
5100148,2010,Abingdon,Virginia,8191,11.62,1782.77,47.71,603,39113,187800,27.1,92.05,3.14,2.55,0.18,1.05,0,0.96,0.06,44.24,40.24,2.26,2.48,1,0,0
5100148,2011,Abingdon,Virginia,8143,9.49,1796.85,49.71,609,39405,168400,25.9,88.65,5.87,3.48,0,1.77,0,0.23,0,63.83,61.07,3.4,3.55,1,0,0
5100148,2012,Abingdon,Virginia,8143,9.49,1809.33,49.71,609,39405,168400,25.9,88.65,5.87,3.48,0,1.77,0,0.23,0,60.5,52.74,2.91,3.34,1,0,0
5100148,2013,Abingdon,Virginia,8143,9.49,1826.72,49.71,609,39405,168400,25.9,88.65,5.87,3.48,0,1.77,0,0.23,0,86.91,58.25,3.19,4.76,0,0,0
5100148,2014,Abingdon,Virginia,8143,9.49,1837.81,49.71,609,39405,168400,25.9,88.65,5.87,3.48,0,1.77,0,0.23,0,82.57,50.46,2.75,4.49,0,0,0
5100148,2015,Abingdon,Virginia,8143,9.49,1851.93,49.71,609,39405,168400,25.9,88.65,5.87,3.48,0,1.77,0,0.23,0,63.81,43.86,2.37,3.45,0,0,0
5100148,2016,Abingdon,Virginia,8143,9.49,1864.38,49.71,609,39405,168400,25.9,88.65,5.87,3.48,0,1.77,0,0.23,0,96.89,42.4,2.27,5.2,0,0,0
5100180,2000,Accomac,Virginia,547,6.17,62.08,22.61,568,37500,86100,32.5,69.84,24.68,2.19,0,2.56,0,0.73,0,3.42,2.74,4.41,5.51,0,0,0
5100180,2001,Accomac,Virginia,547,6.17,63.11,22.61,568,37500,86100,32.5,69.84,24.68,2.19,0,2.56,0,0.73,0,2.05,2.05,3.25,3.25,0,0,0
5100180,2002,Accomac,Virginia,547,6.17,63.79,22.61,568,37500,86100,32.5,69.84,24.68,2.19,0,2.56,0,0.73,0,2.41,2.4,3.77,3.78,0,0,0
5100180,2003,Accomac,Virginia,547,6.17,64.82,22.61,568,37500,86100,32.5,69.84,24.68,2.19,0,2.56,0,0.73,0,1.04,0.69,1.07,1.6,0,0,0
5100180,2004,Accomac,Virginia,547,6.17,65.85,22.61,568,37500,86100,32.5,69.84,24.68,2.19,0,2.56,0,0.73,0,1.38,1.03,1.56,2.1,0,0,0
5100180,2005,Accomac,Virginia,488,3,66.89,12.15,389,38750,149300,18.9,68.85,19.06,9.84,1.02,0,0,1.23,0,1.41,1.4,2.1,2.11,0,0,0
5100180,2006,Accomac,Virginia,488,3,67.57,12.15,389,38750,149300,18.9,68.85,19.06,9.84,1.02,0,0,1.23,0,1.72,1.72,2.54,2.54,0,0,0
5100180,2007,Accomac,Virginia,488,3,68.6,12.15,389,38750,149300,18.9,68.85,19.06,9.84,1.02,0,0,1.23,0,1.74,1.39,2.03,2.53,0,0,0
5100180,2008,Accomac,Virginia,488,3,69.63,12.15,389,38750,149300,18.9,68.85,19.06,9.84,1.02,0,0,1.23,0,1.03,1.03,1.48,1.48,0,0,0
5100180,2009,Accomac,Virginia,488,3,70.32,12.15,389,38750,149300,18.9,68.85,19.06,9.84,1.02,0,0,1.23,0,1.05,1.05,1.49,1.49,0,0,0
5100180,2010,Accomac,Virginia,519,1.18,71.35,32.79,800,43542,190900,26.4,69.36,20.23,8.67,0,0.58,0.19,0.39,0.58,0.35,0.35,0.5,0.5,1,0,0
5100180,2011,Accomac,Virginia,468,7.14,73.74,27.49,738,39659,160300,26.1,75.64,11.75,10.68,0,0,0,1.92,0,1.37,1.37,1.86,1.86,1,0,0
5100180,2012,Accomac,Virginia,468,7.14,75.79,27.49,738,39659,160300,26.1,75.64,11.75,10.68,0,0,0,1.92,0,1.4,1.4,1.85,1.85,1,0,0
5100180,2013,Accomac,Virginia,468,7.14,78.18,27.49,738,39659,160300,26.1,75.64,11.75,10.68,0,0,0,1.92,0,1.38,1.38,1.76,1.76,1,0,0
5100180,2014,Accomac,Virginia,468,7.14,80.23,27.49,738,39659,160300,26.1,75.64,11.75,10.68,0,0,0,1.92,0,2.07,1.04,1.29,2.58,0,0,0
5100180,2015,Accomac,Virginia,468,7.14,82.63,27.49,738,39659,160300,26.1,75.64,11.75,10.68,0,0,0,1.92,0,3.77,0.7,0.85,4.56,0,0,0
5100180,2016,Accomac,Virginia,468,7.14,84.68,27.49,738,39659,160300,26.1,75.64,11.75,10.68,0,0,0,1.92,0,1.4,1.4,1.65,1.66,0,0,0
5100468,2000,Adwolf,Virginia,1457,7.84,106.77,18.57,350,37117,76100,14,97.39,0.14,1.17,0,0.21,0,0.96,0.14,2.22,2.22,2.08,2.08,0,0,0
5100468,2001,Adwolf,Virginia,1457,7.84,107.67,18.57,350,37117,76100,14,97.39,0.14,1.17,0,0.21,0,0.96,0.14,2.65,2.65,2.46,2.46,0,0,0
5100468,2002,Adwolf,Virginia,1457,7.84,109.89,18.57,350,37117,76100,14,97.39,0.14,1.17,0,0.21,0,0.96,0.14,6.14,3.49,3.18,5.59,0,0,0
