,year,state,current dollars,GDP,GDP_area
0,1995,Alaska,2001,24791.0,Far West
1,1995,Alabama,2001,95514.0,Southeast
2,1995,Arkansas,2001,53809.0,Southeast
3,1995,Arizona,2001,104586.0,Southwest
4,1995,California,2001,925931.0,Far West
5,1995,Colorado,2001,109021.0,Rocky Mountain
6,1995,Connecticut,2001,118645.0,New England
7,1995,District of Columbia,2001,48408.0,Mideast
8,1995,Delaware,2001,27575.0,Mideast
9,1995,Florida,2001,344771.0,Southeast
10,1995,Georgia,2001,203505.0,Southeast
11,1995,Hawaii,2001,37243.0,Far West
12,1995,Iowa,2001,71687.0,Plains
13,1995,Idaho,2001,27155.0,Rocky Mountain
14,1995,Illinois,2001,359451.0,Great Lakes
15,1995,Indiana,2001,148447.0,Great Lakes
16,1995,Kansas,2001,64069.0,Plains
17,1995,Kentucky,2001,91472.0,Southeast
18,1995,Louisiana,2001,112157.0,Southeast
19,1995,Massachusetts,2001,197469.0,New England
20,1995,Maryland,2001,139495.0,Mideast
21,1995,Maine,2001,27987.0,New England
22,1995,Michigan,2001,254179.0,Great Lakes
23,1995,Minnesota,2001,131841.0,Plains
24,1995,Missouri,2001,139547.0,Plains
25,1995,Mississippi,2001,54562.0,Southeast
26,1995,Montana,2001,17537.0,Rocky Mountain
27,1995,North Carolina,2001,194634.0,Southeast
28,1995,North Dakota,2001,14529.0,Plains
29,1995,Nebraska,2001,44084.0,Plains
30,1995,New Hampshire,2001,32388.0,New England
31,1995,New Jersey,2001,271435.0,Mideast
32,1995,New Mexico,2001,42170.0,Southwest
33,1995,Nevada,2001,49377.0,Far West
34,1995,New York,2001,597593.0,Mideast
35,1995,Ohio,2001,295668.0,Great Lakes
36,1995,Oklahoma,2001,69960.0,Southwest
37,1995,Oregon,2001,81092.0,Far West
38,1995,Pennsylvania,2001,318765.0,Mideast
39,1995,Rhode Island,2001,25703.0,New England
40,1995,South Carolina,2001,86880.0,Southeast
41,1995,South Dakota,2001,18257.0,Plains
42,1995,Tennessee,2001,136821.0,Southeast
43,1995,Texas,2001,513882.0,Southwest
44,1995,Utah,2001,46290.0,Rocky Mountain
45,1995,Virginia,2001,188963.0,Southeast
46,1995,Vermont,2001,13974.0,New England
47,1995,Washington,2001,151265.0,Far West
48,1995,Wisconsin,2001,133694.0,Great Lakes
49,1995,West Virginia,2001,36315.0,Southeast
50,1995,Wyoming,2001,14920.0,Rocky Mountain
51,1996,Alaska,2001,25774.0,Far West
52,1996,Alabama,2001,99286.0,Southeast
53,1996,Arkansas,2001,56796.0,Southeast
54,1996,Arizona,2001,112882.0,Southwest
55,1996,California,2001,973395.0,Far West
56,1996,Colorado,2001,117118.0,Rocky Mountain
57,1996,Connecticut,2001,124157.0,New England
58,1996,District of Columbia,2001,48505.0,Mideast
59,1996,Delaware,2001,29001.0,Mideast
60,1996,Florida,2001,366318.0,Southeast
61,1996,Georgia,2001,219520.0,Southeast
62,1996,Hawaii,2001,37490.0,Far West
63,1996,Iowa,2001,76976.0,Plains
64,1996,Idaho,2001,28101.0,Rocky Mountain
65,1996,Illinois,2001,375949.0,Great Lakes
66,1996,Indiana,2001,155096.0,Great Lakes
67,1996,Kansas,2001,68160.0,Plains
68,1996,Kentucky,2001,95536.0,Southeast
69,1996,Louisiana,2001,116867.0,Southeast
70,1996,Massachusetts,2001,210127.0,New England
71,1996,Maryland,2001,145061.0,Mideast
72,1996,Maine,2001,28925.0,New England
73,1996,Michigan,2001,265130.0,Great Lakes
74,1996,Minnesota,2001,141540.0,Plains
75,1996,Missouri,2001,146537.0,Plains
76,1996,Mississippi,2001,56575.0,Southeast
77,1996,Montana,2001,18074.0,Rocky Mountain
78,1996,North Carolina,2001,204329.0,Southeast
79,1996,North Dakota,2001,15855.0,Plains
80,1996,Nebraska,2001,47772.0,Plains
81,1996,New Hampshire,2001,35068.0,New England
82,1996,New Jersey,2001,285738.0,Mideast
83,1996,New Mexico,2001,44114.0,Southwest
84,1996,Nevada,2001,54564.0,Far West
85,1996,New York,2001,633830.0,Mideast
86,1996,Ohio,2001,306333.0,Great Lakes
87,1996,Oklahoma,2001,74855.0,Southwest
88,1996,Oregon,2001,91709.0,Far West
89,1996,Pennsylvania,2001,329660.0,Mideast
90,1996,Rhode Island,2001,26656.0,New England
91,1996,South Carolina,2001,89854.0,Southeast
92,1996,South Dakota,2001,19372.0,Plains
93,1996,Tennessee,2001,142051.0,Southeast
94,1996,Texas,2001,553180.0,Southwest
95,1996,Utah,2001,51523.0,Rocky Mountain
96,1996,Virginia,2001,199953.0,Southeast
97,1996,Vermont,2001,14662.0,New England
98,1996,Washington,2001,161779.0,Far West
99,1996,Wisconsin,2001,141046.0,Great Lakes
100,1996,West Virginia,2001,37220.0,Southeast
101,1996,Wyoming,2001,15879.0,Rocky Mountain
102,1997,Alaska,2001,26575.0,Far West
103,1997,Alabama,2001,104213.0,Southeast
104,1997,Arkansas,2001,59141.0,Southeast
105,1997,Arizona,2001,122273.0,Southwest
106,1997,California,2001,1045254.0,Far West
107,1997,Colorado,2001,129575.0,Rocky Mountain
108,1997,Connecticut,2001,134968.0,New England
109,1997,District of Columbia,2001,50546.0,Mideast
110,1997,Delaware,2001,31263.0,Mideast
111,1997,Florida,2001,389473.0,Southeast
112,1997,Georgia,2001,235733.0,Southeast
113,1997,Hawaii,2001,38537.0,Far West
114,1997,Iowa,2001,81695.0,Plains
115,1997,Idaho,2001,29388.0,Rocky Mountain
116,1997,Illinois,2001,400327.0,Great Lakes
117,1997,Indiana,2001,162953.0,Great Lakes
118,1997,Kansas,2001,72998.0,Plains
119,1997,Kentucky,2001,101535.0,Southeast
120,1997,Louisiana,2001,123549.0,Southeast
121,1997,Massachusetts,2001,223571.0,New England
122,1997,Maryland,2001,154646.0,Mideast
123,1997,Maine,2001,30409.0,New England
124,1997,Michigan,2001,279503.0,Great Lakes
125,1997,Minnesota,2001,152334.0,Plains
126,1997,Missouri,2001,155811.0,Plains
127,1997,Mississippi,2001,58743.0,Southeast
128,1997,Montana,2001,18907.0,Rocky Mountain
129,1997,North Carolina,2001,221629.0,Southeast
130,1997,North Dakota,2001,15910.0,Plains
131,1997,Nebraska,2001,49275.0,Plains
132,1997,New Hampshire,2001,37470.0,New England
133,1997,New Jersey,2001,299986.0,Mideast
134,1997,New Mexico,2001,47829.0,Southwest
135,1997,Nevada,2001,59248.0,Far West
136,1997,New York,2001,663377.0,Mideast
137,1997,Ohio,2001,326451.0,Great Lakes
138,1997,Oklahoma,2001,79423.0,Southwest
139,1997,Oregon,2001,97510.0,Far West
140,1997,Pennsylvania,2001,347306.0,Mideast
141,1997,Rhode Island,2001,29409.0,New England
142,1997,South Carolina,2001,95447.0,Southeast
143,1997,South Dakota,2001,19767.0,Plains
144,1997,Tennessee,2001,151738.0,Southeast
145,1997,Texas,2001,608622.0,Southwest
146,1997,Utah,2001,55070.0,Rocky Mountain
147,1997,Virginia,2001,212105.0,Southeast
148,1997,Vermont,2001,15510.0,New England
149,1997,Washington,2001,175242.0,Far West
150,1997,Wisconsin,2001,148194.0,Great Lakes
151,1997,West Virginia,2001,38281.0,Southeast
152,1997,Wyoming,2001,16244.0,Rocky Mountain
153,1998,Alaska,2001,24651.0,Far West
154,1998,Alabama,2001,109672.0,Southeast
155,1998,Arkansas,2001,61298.0,Southeast
156,1998,Arizona,2001,132897.0,Southwest
157,1998,California,2001,1125331.0,Far West
158,1998,Colorado,2001,139860.0,Rocky Mountain
159,1998,Connecticut,2001,142701.0,New England
160,1998,District of Columbia,2001,52145.0,Mideast
161,1998,Delaware,2001,32693.0,Mideast
162,1998,Florida,2001,415564.0,Southeast
163,1998,Georgia,2001,254891.0,Southeast
164,1998,Hawaii,2001,39371.0,Far West
165,1998,Iowa,2001,83069.0,Plains
166,1998,Idaho,2001,31041.0,Rocky Mountain
167,1998,Illinois,2001,423175.0,Great Lakes
168,1998,Indiana,2001,176110.0,Great Lakes
169,1998,Kansas,2001,76648.0,Plains
170,1998,Kentucky,2001,107648.0,Southeast
171,1998,Louisiana,2001,122580.0,Southeast
172,1998,Massachusetts,2001,241369.0,New England
173,1998,Maryland,2001,164100.0,Mideast
174,1998,Maine,2001,32208.0,New England
175,1998,Michigan,2001,293173.0,Great Lakes
176,1998,Minnesota,2001,163009.0,Plains
