RegionID,SizeRank,RegionName,RegionType,StateName,1/31/1996,2/29/1996,3/31/1996,4/30/1996,5/31/1996,6/30/1996,7/31/1996,8/31/1996,9/30/1996,10/31/1996,11/30/1996,12/31/1996,1/31/1997,2/28/1997,3/31/1997,4/30/1997,5/31/1997,6/30/1997,7/31/1997,8/31/1997,9/30/1997,10/31/1997,11/30/1997,12/31/1997,1/31/1998,2/28/1998,3/31/1998,4/30/1998,5/31/1998,6/30/1998,7/31/1998,8/31/1998,9/30/1998,10/31/1998,11/30/1998,12/31/1998,1/31/1999,2/28/1999,3/31/1999,4/30/1999,5/31/1999,6/30/1999,7/31/1999,8/31/1999,9/30/1999,10/31/1999,11/30/1999,12/31/1999,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020
9,0,California,State,CA,161431,161202,161054,160766,160571,160417,160322,160307,160333,160485,160663,160919,160936,161016,161182,161647,162206,162793,163513,164281,165141,165915,166812,167833,169256,170830,172337,173616,174772,175971,177056,178241,179536,180910,182181,183263,184539,185888,187301,188563,189874,191423,193076,194542,195857,197399,199266,201326,203328,205242,207212,209341,211666,214089,216582,219238,221977,224632,227276,229949,232512,235164,237931,240855,243475,245773,247803,249803,251849,253992,256098,258208,260354,262686,265091,267695,270485,273755,277463,281385,285232,289114,293236,297489,301564,305294,309037,312788,316664,319992,323680,327756,332524,337273,342385,347491,353384,359656,366313,373138,380791,389480,397994,405899,413400,420898,427941,435117,441739,448919,455927,463339,469838,475838,481987,488380,495008,501273,506370,510891,514663,517821,520814,523016,525494,526781,527191,526789,525269,523535,522026,520588,519125,517177,514985,512746,509349,505678,501205,496509,490933,484425,477875,470560,463240,454071,443684,432407,421308,411103,400886,391310,382585,374767,366061,357470,349523,344612,340295,336304,332705,330121,328843,327965,327390,327400,328894,330877,332346,332150,332923,334094,335808,335341,334057,332401,331096,329373,327017,324989,323273,321815,319609,317365,314279,312466,311029,309621,307941,306104,305375,304201,303467,302910,303086,303769,305299,307211,309521,312427,315794,319951,323784,328844,333846,339775,346335,353671,361184,368762,376194,383437,389835,395397,400494,404925,409420,413114,415280,416334,416944,417777,419087,419775,421031,422379,424835,426651,428562,430732,433995,436717,439567,441766,443923,446491,449438,452633,455139,458630,461714,464390,466057,468711,471257,473960,476271,479224,481940,484913,487428,489606,492016,494626,497758,500599,503862,507314,510312,513017,516042,519355,523382,527493,531801,536041,539708,542714,545662,548629,551078,552164,552429,552843,553312,552859,551926,550367,549352,549905,552346,555333,556761,556814,557064,558438,560091,562483,565237,568698,572228,575171,576869,578387,581818,587412
54,1,Texas,State,TX,97782,97806,97835,97961,98098,98215,98303,98424,98579,98759,98975,99215,99239,99240,99230,99363,99456,99585,99718,99886,100064,100307,100535,100773,101247,101698,102145,102270,102480,102694,103003,103241,103465,103538,103575,103580,103800,104286,104953,105694,106379,107057,107705,108256,108710,109243,109828,110416,110798,111078,111250,111439,111480,111520,111522,111711,111958,112206,112500,112824,113051,113044,112882,112786,112873,112978,113103,113149,113255,113382,113472,113561,113665,113902,114242,114662,115087,115579,116061,116554,116972,117355,117754,118138,118415,118504,118495,118534,118662,118899,119121,119404,119644,119956,120235,120556,121135,122169,123523,124662,125512,126006,126601,127147,127813,128426,129009,129588,130211,130617,130869,131047,131306,131700,132029,132370,132655,132838,133142,133377,133742,134150,134603,135040,135556,136090,136634,137102,137608,138270,138838,139412,139811,140102,140307,140628,140993,141407,141704,142168,142616,143008,143277,143508,143311,142909,142355,142006,141617,141244,140956,140557,140058,139513,138929,138372,138071,138058,138125,138008,137851,137711,137679,137594,137539,137467,137679,137847,137938,137914,137927,138019,138045,137926,137458,136928,136395,135968,135455,135029,134619,134096,133525,132954,132491,132067,131883,131858,131952,131975,131849,131680,131653,131889,132235,132532,132850,133200,133629,134014,134307,134588,135040,135629,136320,136962,137717,138562,139427,140301,141194,142131,143166,144255,145337,146292,147158,148050,148844,149610,150410,151331,152208,153158,154105,155084,156056,157064,158087,159100,160186,161294,162326,163342,164340,165306,166194,167140,168000,168903,169845,170760,171646,172504,173535,174509,175569,176493,177480,178374,179489,180666,181726,182776,183694,184672,185498,186352,187119,187909,188758,189756,190751,191661,192461,193299,194292,195399,196480,197504,198396,199282,200013,200906,201711,202698,203674,204635,205286,205771,206338,206962,207584,208048,208601,209006,209492,209866,210342,210830,211527,212296,213054,213805,214657,215658
43,2,New York,State,NY,139332,139016,138830,138549,138446,138381,138300,138218,138181,138200,138257,138362,138338,138617,138921,139291,139423,139590,139895,140197,140491,140712,141142,141603,142466,142965,143437,143538,143798,144063,144198,144612,145116,145897,146367,146858,147116,147644,148210,149080,150023,151034,152354,153426,154487,155250,156090,156850,157598,158655,159876,161243,162454,163638,164572,165421,166245,167213,168410,169664,170940,171992,173044,174077,175201,176329,177502,178729,179942,181260,182618,184048,185514,186919,188149,189408,190702,192137,193606,195167,196721,198234,199785,201467,203142,204919,207035,209029,210937,212629,214353,216272,218272,220327,222090,223740,225524,227314,228947,230648,232543,234711,236947,239041,241217,243299,245672,247896,250159,252431,254656,257044,259385,261643,263951,266315,268832,271330,273599,275926,277946,279833,281409,282818,284059,285367,286434,287309,287744,288014,288141,288312,288422,288574,288853,288971,289233,289218,289334,289380,289390,289644,289904,289886,289801,289377,288936,288238,287245,286172,284878,283682,282395,280795,279081,277487,275943,274520,273107,271824,270651,269430,268344,267356,266746,266475,266401,266363,266193,266147,265996,266174,266255,266638,266772,266550,265940,265023,264164,263229,262617,262025,261587,260722,259813,258619,257707,257044,256597,256270,255773,255376,254907,254325,253802,253438,253386,253465,253576,253756,253951,254087,254362,254723,255118,255713,256220,256976,257665,258484,259293,259998,260704,261540,262392,263145,263894,264617,265466,266083,266595,266970,267244,267591,267960,268416,268861,269456,270031,270491,270793,271201,271712,272381,273150,273901,274649,275227,275796,276196,276630,277372,278322,279311,280153,280822,281521,282333,283195,284193,285256,286571,287821,288783,289630,290663,292068,293739,295304,296731,298071,299487,300927,302195,303573,305034,306570,308005,309367,310740,312164,313581,315074,316453,317698,318741,319711,320636,321729,322665,323744,324539,325031,325168,325214,325512,326014,326724,327489,328359,329142,330119,331021,332164,333630,335502
14,3,Florida,State,FL,100461,100557,100669,100878,101080,101309,101529,101727,101857,101991,102144,102334,102343,102409,102490,102795,103077,103325,103566,103820,104114,104377,104683,104990,105682,106261,106771,106867,107035,107145,107309,107558,108002,108532,108920,109221,109299,109501,109743,110188,110634,111262,111917,112506,112901,113246,113722,114243,114809,115376,116027,116731,117402,118022,118611,119212,119883,120595,121369,122175,123010,123882,124772,125681,126624,127583,128627,129707,130857,132021,133162,134271,135353,136392,137410,138447,139527,140649,141774,142963,144125,145350,146599,148035,149525,151098,152646,154207,155703,157106,158455,159799,161313,162994,164817,166576,168393,170234,172151,174030,176130,178481,181093,183946,186900,189912,192924,196168,199605,203274,207129,211270,215720,220541,225780,231111,236411,241395,246164,250696,254957,258762,262588,266380,269744,272275,273784,274671,274818,274621,274237,273373,272377,271117,269548,267414,264909,261974,258780,255494,252306,249097,245600,242018,237973,233842,229321,225016,220478,216307,212043,207745,203450,199065,194588,190299,186297,182680,179207,175699,172557,169651,167374,165319,163465,161953,161017,160167,159478,158721,158212,157733,157193,156388,155296,154007,152646,151160,149555,148053,146517,145092,143591,142247,140970,139967,139051,138428,137953,137710,137564,137452,137451,137501,137809,138285,138867,139547,140337,141237,142189,143225,144308,145560,147027,148683,150387,152124,154019,155910,157945,160036,162166,164058,165898,167578,169140,170461,171737,172817,173827,174686,175559,176196,176926,177915,178996,180088,181100,182242,183378,184513,185692,186949,188133,189482,190887,192287,193549,194924,196407,197971,199312,200655,201901,203311,204781,206177,207418,208564,209888,211166,212498,213694,214963,216356,217755,219132,220380,221760,223101,224438,225649,226885,227829,228916,230213,231670,233183,234498,235774,236840,237878,238838,239889,240980,241979,242600,242969,243324,243807,244566,245490,246057,246466,246914,247627,248306,249211,250402,251724,253008,254232,255416,256606,258257
21,4,Illinois,State,IL,140407,140153,139833,139459,138942,138637,138210,138678,139388,140858,142059,142972,143283,143281,143417,143297,143443,143246,142994,140964,138437,134690,131733,129553,128707,128549,128459,128428,128379,128328,128631,129821,131524,133761,135674,137140,137818,138199,138593,139108,139546,140299,141109,141902,142436,143086,143876,144722,145738,146754,147777,148690,149581,150436,151237,152156,153146,154164,155208,156299,157348,158266,159202,160196,161325,162400,163390,164330,165345,166430,167529,168497,169399,170340,171448,172402,173406,174354,175530,176656,177732,178760,179678,180766,181824,183022,184057,185210,186168,187085,187946,189029,190282,191508,192677,193706,194923,196081,197280,198547,199917,201479,202916,204276,205399,206613,207989,209503,210832,212172,213490,214934,216368,217856,219363,220824,222472,224074,225543,226878,228111,229392,230458,231505,232367,233124,233672,234278,234689,235040,235238,235566,236038,236629,236481,236358,235542,235335,234531,234205,233391,232902,232237,231433,230600,228372,227661,225234,224572,221853,220658,217970,216418,213821,211709,208683,205610,203302,200750,198990,196560,194778,193341,192183,190614,189363,188221,188060,187489,187222,185853,185726,184582,184606,182429,181290,179486,178507,176593,174957,173324,172066,170905,169036,167744,165891,165441,164333,163767,161993,161088,159629,158854,157302,156932,156447,156439,155999,155379,154811,154293,154628,155168,155743,156414,157310,157931,158842,159454,160666,161794,163396,164805,166379,167192,168238,168851,169765,170163,170332,170757,171483,172240,172668,173202,173505,174080,174474,174846,174963,175469,176266,177040,177270,177543,177786,178123,178366,178660,179121,179715,180754,181638,182381,182888,183538,184314,185054,185685,186385,187241,188166,189158,189920,190823,191652,192448,193070,193612,194303,195067,195916,196709,197575,198439,199105,199480,199851,200391,201081,201533,201864,202288,202743,203199,203444,203538,203825,204147,204645,205124,205521,205713,205652,205512,205490,205518,205656,205920,206204,206618,206955,207273,207647,208352,209335
47,5,Pennsylvania,State,PA,96830,96763,96696,96586,96486,96439,96405,96443,96471,96554,96655,96789,96888,96994,97155,97372,97639,97887,98158,98293,98455,98556,98750,98968,99274,99560,99784,99919,100034,100123,100216,100456,100743,101083,101260,101357,101422,101560,101748,101991,102216,102486,102762,103017,103283,103531,103857,104248,104688,105203,105704,106192,106674,107127,107572,107951,108348,108773,109272,109803,110328,110798,111296,111807,112267,112709,113156,113652,114144,114629,115188,115732,116315,116891,117522,118173,118815,119443,120097,120879,121678,122527,123266,124067,124883,125724,126547,127370,128280,129251,130190,131069,131968,132936,133855,134736,135568,136689,137798,138946,140089,141272,142601,143844,145175,146384,147765,149159,150668,151845,153055,154304,155666,157084,158511,160107,161642,163132,164512,165853,167042,168128,169120,170119,171120,172141,172970,173651,174170,174656,175030,175374,175787,176259,176771,177108,177409,177556,177859,178113,178314,178440,178589,178713,178657,178497,178141,177808,177340,176855,176151,175434,174790,174226,173585,172831,172039,171444,170964,170534,170079,169696,169452,169224,169083,169042,169202,169425,169736,169934,170125,170256,170311,170251,169971,169534,168845,168025,167096,166236,165426,164670,163928,163092,162275,161454,160825,160401,160183,159988,159742,159443,159106,158775,158484,158316,158248,158169,158052,157965,157902,157924,157979,158120,158312,158517,158731,159027,159355,159767,160195,160560,160900,161149,161455,161673,161915,162146,162343,162399,162420,162566,162804,162996,163105,163221,163370,163592,163767,163907,164198,164629,165171,165439,165605,165791,166126,166513,166859,167108,167514,168066,168427,168645,168722,169165,169649,170221,170659,171125,171658,172370,172865,173307,173724,174438,175210,175955,176677,177402,178199,179035,179783,180523,181373,182272,183505,184573,185652,186293,186861,187302,187855,188405,189100,189770,190534,191286,191821,192308,193027,193875,194614,195056,195485,196063,196691,197348,197978,198676,199460,200377,201168,202146,203323,204876
44,6,Ohio,State,OH,92980,93092,93239,93546,93865,94159,94420,94711,95012,95317,95619,95932,96233,96536,96821,97114,97414,97747,98104,98411,98705,98976,99265,99569,99935,100340,100730,101056,101373,101711,102100,102495,102899,103344,103767,104118,104372,104645,104979,105327,105609,105868,106143,106470,106813,107165,107535,107993,108531,109064,109505,109966,110507,111092,111588,112034,112473,112900,113338,113758,114171,114543,114945,115337,115700,116006,116344,116704,117062,117403,117714,118005,118274,118547,118849,119145,119450,119747,120059,120343,120631,120938,121302,121680,122053,122417,122752,123111,123465,123864,124267,124739,125204,125657,126019,126376,126696,127061,127437,127802,128171,128509,128867,129153,129450,129735,130067,130397,130790,131176,131561,131903,132196,132497,132764,133071,133350,133648,133968,134272,134505,134647,134771,134894,135016,135094,135167,135190,135134,135065,134975,134879,134789,134746,134580,134348,134047,133786,133458,133140,132913,132662,132268,131869,131494,131104,130757,130329,129928,129461,129089,128670,128172,127532,127009,126379,125665,124807,124039,123462,122992,122546,122078,121639,121293,121111,120929,120834,120738,120821,120756,120687,120507,120297,119860,119352,118774,118195,117558,116881,116319,115738,115244,114593,113972,113391,113031,112746,112471,112147,111869,111647,111365,111059,110857,110758,110627,110432,110278,110234,110284,110339,110375,110439,110637,110924,111168,111439,111784,112237,112644,113039,113335,113734,114082,114375,114398,114356,114311,114380,114512,114718,114966,115115,115323,115470,115775,116160,116719,117318,117857,118309,118775,119215,119654,120073,120476,120867,121234,121566,121977,122378,122896,123371,123805,124224,124688,125232,125804,126393,127035,127742,128491,129196,129839,130496,131150,131835,132445,133202,133995,134891,135670,136400,136888,137532,138254,139246,140173,141005,141786,142371,142897,143419,144159,144930,145767,146531,147298,147854,148485,149148,149886,150429,151029,151606,152205,152823,153547,154309,155094,155955,156844,157804,158806,160093
30,7,Michigan,State,MI,91520,91846,92159,92831,93495,94173,94787,95356,95879,96398,96970,97594,98249,98850,99478,100032,100619,101125,101721,102392,103132,103871,104532,105104,105688,106303,106910,107480,108036,108662,109304,109921,110550,111195,111837,112498,113023,113688,114322,115112,115847,116686,117487,118301,119064,119816,120571,121335,122227,123018,123865,124633,125493,126294,127177,127994,128759,129474,130273,131100,131837,132478,133086,133704,134334,134888,135423,135974,136601,137189,137708,138178,138705,139248,139814,140282,140640,140993,141292,141642,141928,142267,142619,142991,143332,143735,144010,144402,144857,145413,145930,146402,146911,147449,147940,148409,148847,149255,149741,150144,150553,150937,151395,151816,152189,152559,152931,153301,153687,154000,154351,154693,155096,155375,155589,155809,156085,156307,156485,156626,156760,156888,156917,156840,156632,156321,156049,155655,155264,154709,154130,153403,152650,151957,151285,150661,149793,148994,147969,147227,146103,144946,143599,142573,141590,140402,138935,137135,135409,133660,131926,129905,128107,126633,125232,123442,121206,119096,117070,115347,113661,112061,110822,109702,108813,107718,106885,106175,105918,105544,105324,105188,105210,105240,104831,104270,103449,102721,101912,101275,100555,100012,99321,98618,97874,97176,96688,96489,96520,96580,96588,96598,96647,96672,96955,97286,97775,98287,98958,99589,100190,100931,101762,102544,103349,104376,105559,106805,108001,109217,110528,111927,113407,114727,115972,117246,118542,119659,120505,121234,122000,122851,123575,124143,124580,125071,125633,126148,126679,127250,127989,128644,129176,129646,130168,130795,131310,131826,132430,133241,133997,134700,135197,135971,136796,137731,138659,139543,140632,141720,142711,143575,144429,145349,146422,147481,148645,149640,150490,151358,152241,153208,154221,155213,156435,157689,158895,159953,161015,162249,163373,164340,165103,165904,166656,167581,168274,168983,169437,170006,170978,172175,173179,173521,173810,174278,175018,175651,176364,177072,178021,178995,179663,180142,180908,182327
16,8,Georgia,State,GA,103213,103372,103535,103887,104241,104617,104966,105318,105663,106037,106428,106852,107194,107587,108006,108511,108985,109413,109878,110389,110949,111487,112009,112539,113280,113956,114560,114937,115429,115987,116586,117169,117733,118319,118933,119511,119984,120489,121090,121825,122528,123247,123996,124691,125396,126079,126779,127449,128085,128833,129636,130530,131363,132189,132983,133832,134681,135561,136447,137418,138409,139238,139964,140594,141305,141974,142646,143309,143949,144559,145128,145666,146165,146703,147201,147714,148187,148673,149118,149494,149877,150272,150665,150988,151337,151684,152093,152411,152690,152947,153233,153565,153888,154188,154505,154898,155295,155715,156119,156579,157015,157411,157816,158277,158775,159309,159805,160262,160665,161055,161476,161985,162598,163259,163860,164407,164985,165560,166202,166763,167404,168000,168562,168997,169387,169839,170364,170880,171335,171745,172135,172590,173035,173459,173864,174193,174406,174452,174385,174255,173976,173652,173260,172930,172314,171522,170502,169654,168823,167918,166834,165616,164449,163153,161571,159618,157807,156114,154542,152667,150832,149157,147912,146854,145901,144888,144114,143562,142989,142357,141754,141509,141326,140951,139999,138736,137192,135860,134452,133306,132070,131055,129741,128289,126623,125153,124041,123391,123114,122860,122556,121895,121402,120897,120971,121158,121563,121989,122503,122832,122997,123212,123812,124651,125709,126810,127886,128896,129997,131199,132418,133777,135213,136673,137904,139189,140279,141360,142229,143105,143863,144565,145326,146038,146801,147500,148224,148882,149525,150135,150731,151418,152259,153166,153943,154700,155427,156120,156803,157467,158311,159136,160108,161058,161938,162648,163277,163918,164455,165181,165980,166954,167759,168637,169502,170409,171318,172371,173560,174728,176107,177416,178847,180218,181670,183039,184216,185411,186683,188028,189319,190517,191656,192828,194051,195178,196171,196984,197986,198973,200000,200756,201470,202179,202888,203594,204207,204896,205698,206690,207651,208623,209545,210635,211785,213026
36,9,North Carolina,State,NC,110011,110224,110416,110812,111205,111648,112119,112579,112984,113461,113992,114561,115116,115661,116257,116820,117344,117776,118161,118638,119209,119658,120033,120369,120807,121181,121517,121856,122340,122879,123440,123883,124300,124777,125230,125662,125965,126361,126740,127210,127569,127920,128290,128657,129050,129398,129821,130268,130720,131259,131805,132399,132940,133474,133961,134416,134859,135322,135865,136418,137010,137418,137790,138085,138419,138738,139007,139341,139661,140010,140235,140426,140584,140781,141004,141187,141417,141629,141903,142114,142325,142515,142723,142935,143166,143405,143664,143898,144137,144334,144560,144823,145098,145353,145612,145926,146312,146697,147068,147426,147749,148113,148448,148795,149195,149638,150153,150665,151092,151596,152059,152661,153244,153951,154698,155481,156250,157076,157888,158702,159494,160281,161098,161905,162768,163587,164454,165306,166151,166918,167609,168284,169003,169630,170273,170881,171536,172179,172720,173210,173571,173840,174100,174320,174489,174508,174441,174287,174053,173679,173223,172793,172328,171819,171121,170355,169535,168948,168357,167640,166750,165902,165227,164494,163875,163364,163061,162725,162416,161950,161548,161309,161175,160944,160429,159848,159181,158561,157888,157273,156578,155892,155087,154145,153298,152629,152141,151630,151220,150691,150194,149705,149350,149084,148900,148919,148840,148706,148578,148634,148691,148798,148923,149039,149197,149355,149685,150029,150501,151003,151525,152042,152510,153044,153503,154075,154550,155042,155345,155594,155805,155991,156149,156228,156419,156640,157031,157414,157900,158385,159005,159533,159997,160432,160990,161639,162196,162692,163099,163470,163888,164396,164870,165473,166205,167116,167992,168817,169684,170536,171440,172370,173250,174057,174949,175909,176837,177634,178335,179132,180004,181071,182096,183182,184277,185428,186488,187413,188405,189457,190621,191681,192663,193470,194402,195352,196425,197319,198187,199090,199974,200900,201702,202455,203168,203982,204833,205665,206448,207408,208470,209608,210781,211968,213278,214726
